message,attributes,tags,timestamp
[Socket] Disconnected: 8LVsIfcP3NqO0a6MAAAN,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:51:11.985952137Z
[Socket] Connected: jtjj0VTTmBUzG9LgAAAP,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:20:38.645898611Z
"[Rejoin] ""Shawn"" attempting to rejoin T3EVNF as host","{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:20:38.645910964Z
"[Rejoin] ""Shawn"" rejoined T3EVNF as host","{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:20:38.645919660Z
[Socket] Connected: leAe0K0IGTf8CAQ1AAAR,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:20:39.252562003Z
[Socket] Disconnected: jtjj0VTTmBUzG9LgAAAP,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:21:19.945702490Z
"[Leave] ""Shawn"" left T3EVNF","{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:21:19.945709824Z
[Socket] Disconnected: leAe0K0IGTf8CAQ1AAAR,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:21:23.915974426Z
[Socket] Connected: f73piLZmzpf6qa28AAAT,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:31:11.218356144Z
"[Rejoin] ""Shawn"" attempting to rejoin T3EVNF as host","{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T20:31:11.218364105Z
